Sales_in_thousands,__year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Vehicle_type_Car,Vehicle_type_Passenger
16.919,16.36,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,58.28014952,0,1
39.384,19.875,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,91.37077766,0,1
20.397,22.255,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,62.7776392,0,1
18.78,23.555,33.95,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0,84.56510502,0,1
91.561,12.475,21.975,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0,71.18145132,0,1
39.35,13.74,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,95.63670253,0,1
27.851,20.19,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,85.82840825,0,1
83.257,13.36,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,84.25452581,0,1
6.536,25.725,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,113.7658739,0,1
11.185,18.225,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,83.48309358,0,1
145.519,9.25,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,46.36334747,0,1
135.126,11.225,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,67.31446216,0,1
24.629,10.31,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,69.9913956,0,1
42.593,11.525,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,72.03091719,0,1
26.402,13.025,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,81.11854333,0,1
32.299,9.125,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,48.2976361,0,1
21.855,5.16,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,23.27627233,0,1
7.854,12.36,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,65.95718396,0,1
32.775,14.18,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,69.52135505,0,1
31.148,13.725,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,80.02378204,0,1
32.306,12.64,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,53.56619987,0,1
13.462,17.325,28.34,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0,101.3292807,0,1
76.034,7.75,12.64,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0,52.08489875,0,1
4.734,12.545,19.045,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0,65.65050834,0,1
71.186,10.185,20.23,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0,67.87610784,0,1
227.061,15.06,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,90.21170005,1,0
16.767,15.51,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,71.13529161,1,0
31.038,13.425,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,70.07832154,1,0
111.313,11.26,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,49.64500177,1,0
181.749,12.025,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,61.22700031,1,0
70.227,7.425,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,44.08370946,0,1
